                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5966,                 2.5472,                 1.8241,                0.77176,                0.66026,                0.73228,                0.26504,                      0,                    inf,                      0,               0.070204,              0.0033107,              0.0033107
                      1,                 1.3279,                  1.595,                 1.5766,                 0.7116,                0.54022,                0.64523,                 0.2421,                      0,                    inf,                      0,               0.040122,              0.0065618,              0.0065618
                      2,                 1.4004,                 1.5854,                  1.639,                0.72811,                0.61538,                  0.721,                  0.252,                      0,                    inf,                      0,              0.0099571,              0.0097304,              0.0097304
                      3,                 1.4601,                 1.5874,                  1.688,                0.64758,                 0.5858,                0.63818,                0.22609,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.4125,                 1.4954,                  1.668,                0.79954,                0.66272,                0.75833,                0.29554,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.3713,                  1.394,                 1.6234,                0.71171,                0.74501,                 0.7483,                0.31912,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.3794,                 1.3602,                 1.6267,                0.81547,                0.78698,                0.84521,                0.34252,                      0,                    inf,                      0,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.3131,                 1.2667,                 1.5806,                0.89772,                0.83094,                0.89973,                0.42645,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.2955,                 1.2146,                 1.5625,                0.86512,                0.78698,                0.88826,                0.43729,                      0,                    inf,                      0,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.3156,                  1.188,                 1.5629,                 0.8117,                0.73964,                0.78653,                0.36248,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     10,                 1.2716,                 1.1331,                 1.5507,                0.92255,                0.84581,                0.92775,                0.47255,                      0,                    inf,                      0,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.2502,                 1.1068,                 1.5321,                0.86393,                0.81657,                0.88187,                0.41926,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.2272,                 1.0733,                  1.514,                0.92243,                0.84442,                0.91208,                0.45018,                      0,                    inf,                      0,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.2112,                 1.0551,                 1.4874,                0.90027,                0.86982,                 0.9354,                0.45771,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     14,                 1.1916,                 1.0021,                 1.4708,                 0.8872,                0.88423,                0.93021,                0.48875,                      0,                    inf,                      0,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.1697,                0.98031,                 1.4591,                0.87494,                0.88166,                0.91679,                 0.4465,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.1716,                0.98868,                 1.4677,                0.96066,                0.86698,                0.95282,                0.53801,                      0,                    inf,                      0,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.1368,                0.93509,                 1.4397,                0.94018,                0.92998,                   0.97,                0.51426,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     18,                 1.1626,                0.92298,                 1.4387,                0.93311,                0.91716,                0.96407,                0.53319,                      0,                    inf,                      0,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.1362,                0.93603,                 1.4277,                0.95012,                0.90533,                0.96446,                0.53619,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
